Title,Release Date,Language,Vote Average,Popularity
Ayogya,17-08-2018,Kannada,3.7,0.1354
Gultoo,30-03-2018,Kannada,7.7,0.1635
Double Engine,01-01-2018,Kannada,0,0.1719
Amma I Love You,13-05-2018,Kannada,1,0.1812
Vivekananda By Vivekananda,04-10-2018,Kannada,0,0.103
Kannadakkaagi Ondannu Otti,06-07-2018,Kannada,0,0.1189
Sankashta Kara Ganapathi,27-07-2018,Kannada,6.5,0.1427
Vaasu Naan Pakka Commercial,03-08-2018,Kannada,3,0.197
Kumari 21F,09-02-2018,Kannada,7,0.1148
Churikatte,26-01-2018,Kannada,8,0.1226
Ondalla Eradalla,24-08-2018,Kannada,0,0.1531
Victory 2,01-11-2018,Kannada,5,0.0953
The Bangle Seller,26-01-2018,Kannada,8,0.1038
Dhwaja,27-04-2018,Kannada,0,0.1098
3 Gante 30 Dina 30 Second,19-01-2018,Kannada,0,0.1102
